State,Percentage
Alabama,12.9
Alaska,7.4
Arizona,9.7
Arkansas,11.7
California,9.2
Colorado,7.1
Connecticut,8.2
Delaware,10.5
District of Columbia,8.3
Florida,9.5
Georgia,10.7
Hawaii,9.5
Idaho,7.9
Illinois,9.3
Indiana,10.5
Iowa,9
Kansas,10
Kentucky,11.4
Louisiana,12.7
Maine,8.3
Maryland,9.1
Massachusetts,7.7
Michigan,10.6
Minnesota,7.8
Mississippi,13.1
Missouri,9.4
Montana,7.8
Nebraska,8.9
Nevada,9.7
New Hampshire,7.5
New Jersey,8.6
New Mexico,11
New York,9.1
North Carolina,11
North Dakota,9.3
Ohio,10.9
Oklahoma,11.9
Oregon,8.4
Pennsylvania,9.8
Rhode Island,9
South Carolina,11.9
South Dakota,7
Tennessee,12.5
Texas,12.1
Utah,8.5
Vermont,6.7
Virginia,9.8
Washington,7.9
West Virginia,13.1
Wisconsin,7.6
Wyoming,7.5
Guam,16.6
Puerto Rico,13.3
Virgin Islands of the U.S.,
