Year,Area,Cancer Type,Age-Adjusted Rate of New Cancer Cases,Case Count,Age-Adjusted Rate of cancer deaths,Death Count,Population
1999,Alabama,All Types of Cancer,425.3,19296,210.8,9506,4430141
1999,Alaska,All Types of Cancer,506.3,1968,193.8,633,624779
1999,Arizona,All Types of Cancer,423.5,21295,179.8,9006,5023823
1999,Arkansas,All Types of Cancer,443,12562,213.9,6137,2651860
1999,California,All Types of Cancer,466.6,136440,185.1,53064,33499204
1999,Colorado,All Types of Cancer,449.8,16144,171.8,5862,4226018
1999,Connecticut,All Types of Cancer,516.7,18713,190.6,7054,3386401
1999,Delaware,All Types of Cancer,503.7,3976,223.5,1737,774990
1999,District of Columbia,All Types of Cancer,530.5,2957,241.5,1340,570213
1999,Florida,All Types of Cancer,513.4,100470,189.9,38477,15759421
1999,Georgia,All Types of Cancer,446.7,30398,202.9,13225,8045965
1999,Hawaii,All Types of Cancer,436.5,5373,156.6,1916,1210300
1999,Idaho,All Types of Cancer,445.8,5213,186.5,2162,1275674
1999,Illinois,All Types of Cancer,494.8,58868,210.3,25024,12359020
1999,Indiana,All Types of Cancer,466.9,27790,217.3,12898,6044969
1999,Iowa,All Types of Cancer,489.2,15812,188.4,6346,2917634
1999,Kansas,All Types of Cancer,470.2,12727,192.1,5334,2678338
1999,Kentucky,All Types of Cancer,519.7,20893,224.3,8925,4018053
1999,Louisiana,All Types of Cancer,493.3,20446,230.6,9412,4460811
1999,Maine,All Types of Cancer,512,7183,214.4,3035,1266808
1999,Maryland,All Types of Cancer,499,24819,209.9,10143,5254509
1999,Massachusetts,All Types of Cancer,515.6,33917,206,13853,6317345
1999,Michigan,All Types of Cancer,523.1,50672,205.2,19744,9897116
1999,Minnesota,All Types of Cancer,466.2,21862,186.9,8892,4873481
1999,Mississippi,All Types of Cancer,Data Suppressed,Data Suppressed,227.9,6143,
1999,Missouri,All Types of Cancer,478.3,27706,207.8,12186,5561948
1999,Montana,All Types of Cancer,487.4,4596,195.1,1854,897507
1999,Nebraska,All Types of Cancer,485.7,8542,188.6,3410,1704764
1999,Nevada,All Types of Cancer,421.5,7616,207.7,3556,1934718
1999,New Hampshire,All Types of Cancer,489.9,5870,203.7,2408,1222014
1999,New Jersey,All Types of Cancer,519.8,45055,209.1,18177,8359592
1999,New Mexico,All Types of Cancer,431.8,7306,173.6,2857,1808082
