Cancer Type,Year,Age_Group (years),Age_Specific Rate,Case_Count,Population
All Types of Cancer,2019, <1,25.8,961,3726447
All Types of Cancer,2019, 1-4,20.8,3260,15658972
All Types of Cancer,2019, 5-9,12.2,2453,20028109
All Types of Cancer,2019, 10-14,15.1,3116,20620267
All Types of Cancer,2019, 15-19,23.8,4976,20883129
All Types of Cancer,2019, 20-24,36,7722,21460113
All Types of Cancer,2019, 25-29,57.3,13346,23308506
All Types of Cancer,2019, 30-34,96.4,21435,22239076
All Types of Cancer,2019, 35-39,146.1,31476,21537841
All Types of Cancer,2019, 40-44,230.8,45529,19724922
All Types of Cancer,2019, 45-49,358.3,72334,20189923
All Types of Cancer,2019, 50-54,556.7,112863,20275368
All Types of Cancer,2019, 55-59,827.7,179383,21673025
All Types of Cancer,2019, 60-64,1184.1,241250,20374431
All Types of Cancer,2019, 65-69,1608.1,277882,17279940
All Types of Cancer,2019, 70-74,1895.1,263187,13887511
All Types of Cancer,2019, 75-79,2143.7,204875,9556958
All Types of Cancer,2019, 80-84,2199.1,137669,6260236
All Types of Cancer,2019, 85+,1968.4,129018,6554408
All Types of Cancer,2015-2019, <1,27.2,5240,19239813
All Types of Cancer,2015-2019, 1-4,22.4,17675,78947442
All Types of Cancer,2015-2019, 5-9,13.2,13285,100748021
All Types of Cancer,2015-2019, 10-14,15.6,16073,102775941
All Types of Cancer,2015-2019, 15-19,24.2,25339,104582969
All Types of Cancer,2015-2019, 20-24,37,40574,109675069
All Types of Cancer,2015-2019, 25-29,60.4,69288,114709442
All Types of Cancer,2015-2019, 30-34,99,107857,108965037
All Types of Cancer,2015-2019, 35-39,148.2,154992,104567838
All Types of Cancer,2015-2019, 40-44,233.6,229007,98037577
All Types of Cancer,2015-2019, 45-49,360.8,370478,102684516
All Types of Cancer,2015-2019, 50-54,572.7,605580,105736928
All Types of Cancer,2015-2019, 55-59,848.3,919974,108453769
All Types of Cancer,2015-2019, 60-64,1197.5,1178036,98371764
All Types of Cancer,2015-2019, 65-69,1635,1362648,83341080
All Types of Cancer,2015-2019, 70-74,1953.4,1227565,62843797
All Types of Cancer,2015-2019, 75-79,2197,959730,43683754
All Types of Cancer,2015-2019, 80-84,2276.6,678684,29811614
All Types of Cancer,2015-2019, 85+,2060.1,660129,32042979
Melanomas of the Skin,2015-2019, <1,0.3,55,19239813
Melanomas of the Skin,2015-2019, 1-4,0.1,83,78947442
Melanomas of the Skin,2015-2019, 5-9,0.1,122,100748021
Melanomas of the Skin,2015-2019, 10-14,0.2,252,102775941
Melanomas of the Skin,2015-2019, 15-19,0.8,859,104582969
Melanomas of the Skin,2015-2019, 20-24,2.6,2853,109675069
Melanomas of the Skin,2015-2019, 25-29,5.4,6154,114709442
Melanomas of the Skin,2015-2019, 30-34,9.7,10550,108965037
Melanomas of the Skin,2015-2019, 35-39,13,13550,104567838
Melanomas of the Skin,2015-2019, 40-44,16.8,16488,98037577
Melanomas of the Skin,2015-2019, 45-49,22.6,23176,102684516
Melanomas of the Skin,2015-2019, 50-54,30.4,32184,105736928
Melanomas of the Skin,2015-2019, 55-59,39.8,43167,108453769
Melanomas of the Skin,2015-2019, 60-64,52.5,51626,98371764
Melanomas of the Skin,2015-2019, 65-69,70.2,58529,83341080
Melanomas of the Skin,2015-2019, 70-74,86.5,54341,62843797
Melanomas of the Skin,2015-2019, 75-79,101.9,44531,43683754
Melanomas of the Skin,2015-2019, 80-84,114.3,34064,29811614
Melanomas of the Skin,2015-2019, 85+,110.3,35351,32042979
Melanomas of the Skin,2019, <1,0.5,19,3726447
Melanomas of the Skin,2019, 1-4,0.1,18,15658972
Melanomas of the Skin,2019, 5-9,0.1,21,20028109
Melanomas of the Skin,2019, 10-14,0.2,46,20620267
Melanomas of the Skin,2019, 15-19,0.7,156,20883129
Melanomas of the Skin,2019, 20-24,2.2,479,21460113
Melanomas of the Skin,2019, 25-29,4.6,1074,23308506
Melanomas of the Skin,2019, 30-34,9.4,2080,22239076
Melanomas of the Skin,2019, 35-39,12.5,2692,21537841
Melanomas of the Skin,2019, 40-44,16.5,3254,19724922
Melanomas of the Skin,2019, 45-49,22.1,4462,20189923
Melanomas of the Skin,2019, 50-54,30.1,6095,20275368
Melanomas of the Skin,2019, 55-59,39.4,8537,21673025
Melanomas of the Skin,2019, 60-64,53.1,10820,20374431
Melanomas of the Skin,2019, 65-69,69.7,12037,17279940
Melanomas of the Skin,2019, 70-74,87.2,12106,13887511
Melanomas of the Skin,2019, 75-79,103.3,9874,9556958
Melanomas of the Skin,2019, 80-84,113.2,7085,6260236
Melanomas of the Skin,2019, 85+,109.9,7204,6554408
Non-Hodgkin Lymphoma,2019, <1,Data Suppressed,Data Suppressed,3726447
Non-Hodgkin Lymphoma,2019, 1-4,0.7,104,15658972
Non-Hodgkin Lymphoma,2019, 5-9,0.9,189,20028109
Non-Hodgkin Lymphoma,2019, 10-14,1.3,273,20620267
Non-Hodgkin Lymphoma,2019, 15-19,1.9,387,20883129
Non-Hodgkin Lymphoma,2019, 20-24,2.3,483,21460113
Non-Hodgkin Lymphoma,2019, 25-29,3.3,775,23308506
Non-Hodgkin Lymphoma,2019, 30-34,4.5,1005,22239076
Non-Hodgkin Lymphoma,2019, 35-39,6.5,1394,21537841
Non-Hodgkin Lymphoma,2019, 40-44,8.7,1725,19724922
Non-Hodgkin Lymphoma,2019, 45-49,13.1,2654,20189923
Non-Hodgkin Lymphoma,2019, 50-54,20.2,4091,20275368
Non-Hodgkin Lymphoma,2019, 55-59,29.2,6332,21673025
Non-Hodgkin Lymphoma,2019, 60-64,41.8,8515,20374431
Non-Hodgkin Lymphoma,2019, 65-69,58.6,10121,17279940
Non-Hodgkin Lymphoma,2019, 70-74,75.5,10492,13887511
Non-Hodgkin Lymphoma,2019, 75-79,100,9557,9556958
Non-Hodgkin Lymphoma,2019, 80-84,112.5,7045,6260236
Non-Hodgkin Lymphoma,2019, 85+,98,6423,6554408
