Cancer Type,Race,Sex,Year,Age-Adjusted Rate,lci,uci,Case Count,Population,,,,,
All Types of Cancer,Hispanic,Female,2015-2019,345.2,344.1,346.3,385548,142281503,,,,,
All Types of Cancer,Hispanic,Male,2015-2019,372.6,371.2,373.9,337822,145108071,,,,,
All Types of Cancer,Asian and Pacific Islander Non-Hispanic,Female,2015-2019,300.2,298.7,301.6,162677,51654262,,,,,
All Types of Cancer,Asian and Pacific Islander Non-Hispanic,Male,2015-2019,294.9,293.3,296.6,126814,47521058,,,,,
All Types of Cancer,American Indian and Alaska Native Non-Hispanic,Female,2015-2019,389.9,385.1,394.7,26723,6857318,,,,,
All Types of Cancer,American Indian and Alaska Native Non-Hispanic,Male,2015-2019,409.4,404,414.9,24376,6603829,,,,,
All Types of Cancer,Black Non-Hispanic,Female,2015-2019,404.2,403,405.4,462637,110125147,,,,,
All Types of Cancer,Black Non-Hispanic,Male,2015-2019,527.5,526,529.1,471804,101177868,,,,,
All Types of Cancer,White Non-Hispanic,Female,2015-2019,442.8,442.3,443.4,3183055,506010173,,,,,
All Types of Cancer,White Non-Hispanic,Male,2015-2019,502.2,501.6,502.7,3345901,491880121,,,,,
All Types of Cancer,Hispanic,Female,2019,342.2,339.8,344.6,82210,29481430,,,,,
All Types of Cancer,Hispanic,Male,2019,358.7,355.8,361.5,71057,30015368,,,,,
All Types of Cancer,Asian and Pacific Islander Non-Hispanic,Female,2019,299.3,296.1,302.5,34881,10775928,,,,,
All Types of Cancer,Asian and Pacific Islander Non-Hispanic,Male,2019,284.3,280.8,287.8,26653,9933270,,,,,
All Types of Cancer,American Indian and Alaska Native Non-Hispanic,Female,2019,366,355.9,376.3,5292,1388337,,,,,
All Types of Cancer,American Indian and Alaska Native Non-Hispanic,Male,2019,381.1,370,392.5,4861,1334570,,,,,
All Types of Cancer,Black Non-Hispanic,Female,2019,393.2,390.7,395.8,94315,22401024,,,,,
All Types of Cancer,Black Non-Hispanic,Male,2019,507.9,504.5,511.3,95814,20599304,,,,,
All Types of Cancer,White Non-Hispanic,Female,2019,433.2,432.1,434.3,635991,101049632,,,,,
All Types of Cancer,White Non-Hispanic,Male,2019,487,485.8,488.2,672168,98260319,,,,,
